epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.049,1.47833,2.72704,1.24545,0.86948,0.68916,0.74723,0.44267,1.36745,3.36334,1.27794,0.00064,0.00064,0.00064
2,314.678,1.51083,1.2786,1.30809,0.02621,0.55862,0.02174,0.01096,1.66145,27.061,1.64935,0.00129142,0.00129142,0.00129142
3,468.994,1.57018,1.22056,1.38447,0.31753,0.35172,0.2311,0.10415,2.54631,4.00452,2.22,0.00193413,0.00193413,0.00193413
4,624.827,1.62677,1.2077,1.38831,0.74913,0.4325,0.49094,0.20839,2.25217,2.32422,2.56564,0.0019604,0.0019604,0.0019604
5,780.794,1.55027,1.11157,1.33779,0.11021,0.46207,0.07803,0.03344,2.05598,15.7234,1.98363,0.0019472,0.0019472,0.0019472
6,935.12,1.5335,1.07376,1.3463,0.85042,0.65517,0.75165,0.38122,1.60218,1.8639,1.56547,0.001934,0.001934,0.001934
7,1089.13,1.49448,1.06141,1.34235,0.79333,0.63538,0.71819,0.38488,1.49871,2.55392,1.45519,0.0019208,0.0019208,0.0019208
8,1243.16,1.50887,1.04533,1.31152,0.77518,0.68276,0.72931,0.35603,1.63075,1.22839,1.46521,0.0019076,0.0019076,0.0019076
9,1397.2,1.5012,1.04843,1.33449,0.83701,0.66207,0.73262,0.4083,1.5484,1.45975,1.47267,0.0018944,0.0018944,0.0018944
10,1551.4,1.4612,0.95169,1.31529,0.89905,0.65517,0.81483,0.43792,1.49193,1.08801,1.39565,0.0018812,0.0018812,0.0018812
11,1705.47,1.41272,0.92167,1.25913,0.72033,0.7283,0.7545,0.40126,1.51761,1.24257,1.49845,0.001868,0.001868,0.001868
12,1859.54,1.40802,0.92439,1.28438,0.84757,0.68966,0.80272,0.39933,1.67641,1.09521,1.4433,0.0018548,0.0018548,0.0018548
13,2013.75,1.43672,0.9124,1.25602,0.87997,0.73793,0.83208,0.4723,1.55867,0.97145,1.44075,0.0018416,0.0018416,0.0018416
14,2167.97,1.3629,0.89175,1.27414,0.87337,0.82069,0.88252,0.49666,1.43067,1.07407,1.38974,0.0018284,0.0018284,0.0018284
15,2321.95,1.40686,0.90128,1.26966,0.87838,0.74714,0.83995,0.45169,1.53351,1.05307,1.45194,0.0018152,0.0018152,0.0018152
